picture;date;time;individual;camera;temperature;temp_9am_atmo;temp_3pm_atmo;humid%_9am;humid%_9am
C4_9;23_04_2026;07:00;3;C4;13;14.1;19.7;100;54
C4_9;23_04_2026;07:00;4;C4;13;14.1;19.7;100;54
C4_10;23_04_2026;07:15;3;C4;13;14.1;19.7;100;54
C4_10;23_04_2026;07:15;4;C4;13;14.1;19.7;100;54
C4_11;23_04_2026;07:30;3;C4;13;14.1;19.7;100;54
C4_11;23_04_2026;07:30;4;C4;13;14.1;19.7;100;54
C4_12;23_04_2026;07:45;3;C4;13;14.1;19.7;100;54
C4_12;23_04_2026;07:45;4;C4;13;14.1;19.7;100;54
C4_13;23_04_2026;08:00;3;C4;13;14.1;19.7;100;54
C4_13;23_04_2026;08:00;4;C4;13;14.1;19.7;100;54
C4_14;23_04_2026;08:15;3;C4;13;14.1;19.7;100;54
C4_14;23_04_2026;08:15;4;C4;13;14.1;19.7;100;54
C4_15;23_04_2026;08:30;3;C4;13;14.1;19.7;100;54
C4_15;23_04_2026;08:30;4;C4;13;14.1;19.7;100;54
C4_16;23_04_2026;08:45;3;C4;13;14.1;19.7;100;54
C4_17;23_04_2026;09:00;3;C4;13;14.1;19.7;100;54
C4_18;23_04_2026;09:15;3;C4;13;14.1;19.7;100;54
C4_19;23_04_2026;09:30;3;C4;13;14.1;19.7;100;54
C4_20;23_04_2026;09:45;3;C4;14;14.1;19.7;100;54
C4_21;23_04_2026;10:00;3;C4;14;14.1;19.7;100;54
C4_22;23_04_2026;10:15;3;C4;14;14.1;19.7;100;54
C4_23;23_04_2026;10:30;3;C4;15;14.1;19.7;100;54
C4_24;23_04_2026;10:45;3;C4;15;14.1;19.7;100;54
C4_25;23_04_2026;11:00;3;C4;16;14.1;19.7;100;54
C4_26;23_04_2026;11:15;3;C4;17;14.1;19.7;100;54
C4_27;23_04_2026;11:30;2;C4;18;14.1;19.7;100;54
C4_27;23_04_2026;11:30;3;C4;18;14.1;19.7;100;54
C4_28;23_04_2026;11:45;3;C4;18;14.1;19.7;100;54
C4_28;23_04_2026;11:45;4;C4;18;14.1;19.7;100;54
C4_29;23_04_2026;12:00;3;C4;19;14.1;19.7;100;54
C4_29;23_04_2026;12:00;4;C4;19;14.1;19.7;100;54
C4_29;23_04_2026;12:00;6;C4;19;14.1;19.7;100;54
C4_30;23_04_2026;12:15;1;C4;20;14.1;19.7;100;54
C4_30;23_04_2026;12:15;4;C4;20;14.1;19.7;100;54
